RKS,comp,#,type,HIP,G2K,sample1,sample2,RA,DEC,map,sep,parallax,pmra,pmdec,Gmag,Bg-Rg,Bg,Rg,PA,DR2_ID,RA_RKS_DD,DEC_RKS_DD
RKS0029-1101,-,1,K*,HIP002311,G2K000051,40-50,eq,00:29:28.6,-11:01:01.7,......,........,23.525,214.540,-57.707,9.089,1.060,9.555,8.496,.....,2425541965342465664,7.369167,-11.017139
RKS0029-0454,-,1,K*,,G2K000052,40-50,eq,00:29:30.5,-04:54:36.8,......,........,20.598,-35.801,-83.512,9.229,1.025,9.679,8.654,.....,2527863067179694976,7.377083,-4.910222
RKS0030+5427,-,1,K*,HIP002364,,33-40,no,00:30:10.7,+54:27:48.4,......,........,25.003,33.190,49.954,9.790,1.342,10.410,9.068,.....,418086483269878144,7.544583,54.463444
RKS0030+2246,-,1,K*,HIP002397,G2K000053,33-40,eq,00:30:31.0,+22:46:08.1,......,........,26.375,187.384,-177.957,8.911,1.152,9.426,8.275,.....,2806028513890183936,7.629167,22.768917
RKS0030+7322,-,1,K*,HIP002426,,00-33,no,00:30:55.6,+73:22:14.8,......,........,33.893,241.117,136.334,10.021,1.705,10.859,9.155,.....,537767121355864448,7.731667,73.370778
RKS0031+3337,-,1,K*,,,33-40,no,00:31:20.1,+33:37:37.3,......,........,25.818,265.276,16.604,10.849,1.848,11.774,9.926,.....,365075282472492928,7.833750,33.627028
RKS0032-0924,-,1,K*,,G2K000054,40-50,eq,00:32:02.7,-09:24:38.3,......,........,24.448,-44.011,-3.388,8.757,1.011,9.202,8.191,.....,2426522862857750912,8.011250,-9.410639
RKS0032-0510,-,1,K*,HIP002533,G2K000055,40-50,eq,00:32:08.3,-05:10:43.3,......,........,20.117,294.198,-22.486,8.395,1.010,8.830,7.820,.....,2527046061321024512,8.034583,-5.178694
RKS0032-6305,-,1,K*,HIP002540,,00-33,so,00:32:15.4,-63:05:28.5,......,........,39.383,531.656,-101.392,9.010,1.762,9.888,8.126,.....,4900915958024013952,8.064167,-63.091250
RKS0033+4200,-,1,K*,HIP002604,,33-40,no,00:33:05.6,+42:00:05.3,......,........,29.256,313.468,151.436,10.312,1.767,11.187,9.420,.....,382248107910955904,8.273333,42.001472
RKS0033-1417,-,1,K*,,G2K000056,40-50,eq,00:33:41.8,-14:17:25.9,......,........,20.509,-90.537,-109.505,9.657,1.179,10.187,9.008,.....,2375092764087616128,8.424167,-14.290528
RKS0033-3500,-,1,K*,,,33-40,so,00:33:43.9,-35:00:12.0,......,........,29.511,-64.835,-502.255,8.291,1.025,8.729,7.704,.....,5005222777860241152,8.432917,-35.003333
RKS0034+2523,-,1,K*,,G2K000057,40-50,eq,00:34:08.4,+25:23:50.0,......,........,20.973,82.275,-97.322,11.175,1.697,11.937,10.239,.....,2807539376010425728,8.535000,25.397222
RKS0034-3246,-,1,K*,,,40-50,so,00:34:10.5,-32:46:28.3,......,........,22.114,109.685,-0.844,10.068,1.246,10.577,9.330,.....,5007252403310261888,8.543750,-32.774528
RKS0034+6615,-,1,K*,,,00-33,no,00:34:17.8,+66:15:10.8,......,........,33.382,-7.403,-38.002,10.637,1.888,11.588,9.700,.....,527621343453476608,8.574167,66.253000
RKS0034+2603,-,1,K*,HIP002725,G2K000058,33-40,eq,00:34:47.3,+26:03:56.9,......,........,26.092,378.097,-53.999,9.170,1.190,9.708,8.518,.....,2807673417645121408,8.697083,26.065806
RKS0034-6154,-,1,K*,HIP002729,,40-50,so,00:34:51.2,-61:54:58.1,......,........,22.473,88.693,-52.661,9.101,1.469,9.800,8.331,.....,4901802507993393664,8.713333,-61.916139
RKS0035+4241,-,1,K*,HIP002742,,00-33,no,00:35:00.9,+42:41:41.1,......,........,34.983,-167.811,-72.831,7.776,1.031,8.237,7.206,.....,381634580422627584,8.753750,42.694750
RKS0035-6341,-,1,K*,HIP002743,,00-33,so,00:35:02.8,-63:41:42.6,......,........,34.955,888.663,-517.428,8.284,1.098,8.773,7.676,.....,4900637266186106752,8.761667,-63.695167
